Year,Description,Alappuzha,Eranakulam,Idukki,Kannur,Kasaragod,Kollam,Kottayam,Kozhikode,Malappuram,Palakkad,Pathanamthitta,Thiruvananthapuram,Thrissur,Wayanad
2004-05,GDP (in Rs. Cr.),7610.28,16681.12,4466.65,8640.83,3995.04,8853.74,8225.77,10257.75,9592.94,9266.39,4630.16,12845.27,11391.85,2806.21
2005-06,GDP (in Rs. Cr.),8780.71,19158.99,5090.36,9953.32,4487.04,10403.22,9603.85,11796.17,10956.76,10332.08,5368.8,14731.06,13073.48,3105.92
2006-07,GDP (in Rs. Cr.),9975.1,21902.69,5639.35,10952.44,5079.01,11555.24,10843.13,13331.81,12011.96,11902.49,6018.9,16584.41,14787.7,3200.65
2007-08,GDP (in Rs. Cr.),11308.12,25082.24,6101.25,12460.44,5892.13,13176.85,12350.36,15170.56,13657.16,13687.63,6923.75,19082.6,16866.68,3381.31
2008-09,GDP (in Rs. Cr.),13240.2,29592.35,7302.45,14414.58,6283.1,15964.57,14032.46,17474.07,16470.52,15232.42,7876.27,21849.41,19286.76,3763.63
2009-10,GDP (in Rs. Cr.),15439.7,32913.83,8669.66,16501.35,7131.73,17441.53,16282.68,19848.8,18095.57,18661.44,9305.7,24760.99,22454.01,4491.69
2010-11,GDP (in Rs. Cr.),16644.02,37301.69,10440.28,18941.71,8437.04,20102.22,18624.25,22679.83,20856.97,20308.52,10881.64,28176.55,25004.8,5373.79
2011-12,GDP (in Rs. Cr.),19481.11,42969.01,11590.28,22303.84,10209.85,23363.72,21678.72,26392.76,24013.83,24045.4,12746.53,33533.91,29342.2,6234.9
2012-13,GDP (in Rs. Cr.),22283.58,49453.29,12768.89,25346.44,11522.96,26437.83,24253.27,30314.3,27201.83,26949.09,14273.7,38036.35,33575.84,6920.95
2005-06,Growth Rate % (YoY),15.38,14.85,13.96,15.19,12.32,17.5,16.75,15,14.22,11.5,15.95,14.68,14.76,10.68
2006-07,Growth Rate % (YoY),13.6,14.32,10.78,10.04,13.19,11.07,12.9,13.02,9.63,15.2,12.11,12.58,13.11,3.05
2007-08,Growth Rate % (YoY),13.36,14.52,8.19,13.77,16.01,14.03,13.9,13.79,13.7,15,15.03,15.06,14.06,5.64
2008-09,Growth Rate % (YoY),17.09,17.98,19.69,15.68,6.64,21.16,13.62,15.18,20.6,11.29,13.76,14.5,14.35,11.31
2009-10,Growth Rate % (YoY),16.61,11.22,18.72,14.48,13.51,9.25,16.04,13.59,9.87,22.51,18.15,13.33,16.42,19.34
2010-11,Growth Rate % (YoY),7.8,13.33,20.42,14.79,18.3,15.25,14.38,14.26,15.26,8.83,16.94,13.79,11.36,19.64
2011-12,Growth Rate % (YoY),17.05,15.19,11.02,17.75,21.01,16.22,16.4,16.37,15.14,18.4,17.14,19.01,17.35,16.02
2012-13,Growth Rate % (YoY),14.39,15.09,10.17,13.64,12.86,13.16,11.88,14.86,13.28,12.08,11.98,13.43,14.43,11
